Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
258.1,2025-01-16,Thursday,09:19:00,371.05,20,CE,77300.0,Sell,2025-01-16,Thursday,12:46:00,371.05,-0.0,-0.0,2025-01-21,,,Stop Loss Hit
258.2,2025-01-16,Thursday,09:19:00,364.45,20,PE,77000.0,Sell,2025-01-16,Thursday,09:56:00,455.55,-1822.0000000000005,-24.996570174235156,2025-01-21,,,Stop Loss Hit
259,2025-01-17,,09:19:00,76634.89,,,,,2025-01-17,,12:02:00,76607.21,-1680.0,,,2087.0,-1680.0,
259.1,2025-01-17,Friday,09:19:00,338.0,20,CE,77000.0,Sell,2025-01-17,Friday,12:02:00,338.0,-0.0,-0.0,2025-01-21,,,Stop Loss Hit
259.2,2025-01-17,Friday,09:19:00,335.9,20,PE,76500.0,Sell,2025-01-17,Friday,10:50:00,419.9,-1680.0,-25.007442691277166,2025-01-21,,,Stop Loss Hit
260,2025-01-20,,09:19:00,76735.81,,,,,2025-01-20,,09:44:00,76683.83,-1727.0,,,91.0,-1727.0,
260.1,2025-01-20,Monday,09:19:00,364.0,20,CE,76800.0,Sell,2025-01-20,Monday,09:44:00,364.0,-0.0,-0.0,2025-01-21,,,Stop Loss Hit
260.2,2025-01-20,Monday,09:19:00,345.35,20,PE,76700.0,Sell,2025-01-20,Monday,09:34:00,431.7,-1726.9999999999993,-25.003619516432593,2025-01-21,,,Stop Loss Hit
261,2025-01-21,,09:19:00,77127.6,,,,,2025-01-21,,09:28:00,77096.28,-1854.0,,,0,-1968.0,
261.1,2025-01-21,Tuesday,09:19:00,332.2,20,CE,76900.0,Sell,2025-01-21,Tuesday,09:28:00,342.35,-203.00000000000068,-3.055388320288993,2025-01-21,,,Stop Loss Hit
261.2,2025-01-21,Tuesday,09:19:00,330.2,20,PE,77300.0,Sell,2025-01-21,Tuesday,09:27:00,412.75,-1651.0000000000002,-25.000000000000007,2025-01-21,,,Stop Loss Hit
262,2025-01-22,,09:19:00,76141.17,,,,,2025-01-22,,15:15:00,76442.18,4136.0,,,4136.0,-294.0,Exit Condition Met For Trade
262.1,2025-01-22,Wednesday,09:19:00,351.95,20,CE,77000.0,Sell,2025-01-22,Wednesday,15:15:00,314.6,746.9999999999993,10.612302883932367,2025-01-28,,,Exit Condition Met For Trade
262.2,2025-01-22,Wednesday,09:19:00,374.2,20,PE,75500.0,Sell,2025-01-22,Wednesday,15:15:00,204.75,3389.0,45.283270978086584,2025-01-28,,,Exit Condition Met For Trade
263,2025-01-23,,09:19:00,76262.4,,,,,2025-01-23,,15:15:00,76510.45,384.0,,,979.0,-646.0,Exit Condition Met For Trade
263.1,2025-01-23,Thursday,09:19:00,351.5,20,CE,76700.0,Sell,2025-01-23,Thursday,09:38:00,439.4,-1757.9999999999995,-25.007112375533424,2025-01-28,,,Stop Loss Hit
263.2,2025-01-23,Thursday,09:19:00,357.6,20,PE,75900.0,Sell,2025-01-23,Thursday,15:15:00,250.5,2142.0000000000005,29.949664429530205,2025-01-28,,,Exit Condition Met For Trade
264,2025-01-24,,09:19:00,76760.25,,,,,2025-01-24,,11:43:00,76913.28,-1810.0,,,1330.0,-1810.0,
